"","country","continent","subcontinent","pcgdp","hdi","polstab","goveff","corrupt","law","regul","voice","polity","demo","demindx","poverty","growth","homicide","politydem"
"45","Costa Rica","Americas","Central America",10105.7001953125,0.763000011444092,67,68,72,66,69,82,10,"Democratic",8.02999973297119,1.5,1.39999997615814,9,10
"46","Cote D'Ivoire","Africa","Western Africa",1540.30004882812,0.451999992132187,17,16,23,19,24,27,-88,NA,3.25,NA,2.40000009536743,14,5
"47","Croatia","Europe","Southern Europe",13597.900390625,0.811999976634979,66,71,61,60,66,63,9,"Democratic",6.92999982833862,NA,-0.300000011920929,1,9
"48","Cuba","Americas","Caribbean",6848.2001953125,0.814999997615814,59,40,62,32,4,9,-7,"Non-Democratic",3.51999998092651,NA,0,4,0
"49","Curacao","Americas","Caribbean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.10000002384186,NA,NA
"50","Cyprus","Asia","Western Asia",27910.599609375,0.845000028610229,65,89,84,82,78,78,10,"Democratic",7.28999996185303,NA,1.10000002384186,2,10
"51","Czech Republic","Europe","Eastern Europe",19858.30078125,0.861000001430511,84,75,63,82,82,77,8,"Democratic",8.0600004196167,NA,0,1,9
"52","Democratic Republic of the Congo","Africa","Middle Africa",444.600006103516,0.337999999523163,2,1,6,3,10,8,5,"Non-Democratic",1.83000004291534,NA,2.70000004768372,28,6
"53","Denmark","Europe","Northern Europe",59818.6015625,0.899999976158142,78,99,100,99,98,100,10,"Democratic",9.38000011444092,NA,0.400000005960464,1,10
"54","Djibouti","Africa","Eastern Africa",1668.30004882812,0.467000007629395,42,12,42,27,32,8,2,"Non-Democratic",2.96000003814697,NA,1.5,10,5
"55","Dominica","Americas","Caribbean",7175.60009765625,0.717000007629395,91,72,73,70,60,79,NA,NA,NA,NA,0.400000005960464,NA,NA
"56","Dominican Republic","Americas","Caribbean",5882.2998046875,0.699999988079071,55,36,21,37,49,54,8,"Democratic",6.73999977111816,1.89999997615814,1.20000004768372,22,8
